PolicyNumber,CustomerID,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P1,C1,Female,73,Auto,13-02-2024,13-02-2025,240.64,33175.1,C1,NULL,0,Rejected
P2,C2,Male,44,Travel,03-03-2024,03-03-2025,1059.73,85046.42,C2,22-06-2024,1493.06,Pending
P3,C3,Female,28,Travel,15-06-2024,15-06-2025,1019.59,68525.53,C3,NULL,0,Rejected
P4,C4,Male,85,Travel,03-06-2024,03-06-2025,549.7,17053.27,C4,25-02-2025,5021.34,Pending
P5,C5,Female,57,Travel,13-06-2024,13-06-2025,841.15,55007.27,C5,30-11-2024,1347.46,Pending
P6,C6,Male,59,Travel,04-02-2024,04-02-2025,266.65,20899.24,C6,03-06-2024,2986.86,Settled
P7,C7,Female,36,Travel,14-05-2024,14-05-2025,573.25,91251.7,C7,20-11-2024,5431.79,Pending
P8,C8,Male,26,Health,29-06-2024,29-06-2025,925.25,46080.19,C8,25-02-2025,2275.24,Settled
P9,C9,Female,42,Travel,25-12-2023,25-12-2024,1006.22,37869.48,C9,16-05-2024,2682.63,Settled
P10,C10,Male,44,Travel,15-08-2023,15-08-2024,607.42,88203.38,C10,31-10-2023,5118.08,Pending
P11,C11,Female,65,Health,04-08-2023,04-08-2024,333.2,46868.19,C11,NULL,0,Rejected
P12,C12,Male,47,Home,16-09-2023,16-09-2024,645.73,67012.84,C12,NULL,0,Rejected
P13,C13,Female,46,Travel,17-08-2023,17-08-2024,646.14,87450.81,C13,NULL,0,Rejected
P14,C14,Male,48,Health,05-09-2023,05-09-2024,142.27,96524.13,C14,25-11-2023,3560.56,Settled
P15,C15,Female,23,Home,27-09-2023,27-09-2024,398.43,97215.02,C15,NULL,0,Rejected
P16,C16,Male,48,Travel,04-06-2024,04-06-2025,638.79,49649.72,C16,18-01-2025,2081.58,Settled
P17,C17,Female,59,Travel,06-02-2024,06-02-2025,231.94,92185.53,C17,NULL,0,Rejected
P18,C18,Male,74,Life,01-08-2023,01-08-2024,302.08,31710.35,C18,NULL,0,Rejected
P19,C19,Female,25,Life,18-01-2024,18-01-2025,854.05,80203.5,C19,26-06-2024,2293.17,Settled
P20,C20,Male,63,Life,18-07-2023,18-07-2024,440.33,18320.59,C20,29-02-2024,4076.85,Pending
P21,C21,Female,57,Health,02-11-2023,02-11-2024,673.19,35518.09,C21,NULL,0,Rejected
P22,C22,Male,61,Travel,10-05-2024,10-05-2025,705.9,30736.05,C22,15-07-2024,3065.87,Settled
P23,C23,Female,33,Travel,09-02-2024,09-02-2025,944.45,81644.41,C23,13-07-2024,4730.07,Settled
P24,C24,Male,84,Travel,12-10-2023,12-10-2024,770.64,76113.89,C24,NULL,0,Rejected
P25,C25,Female,53,Home,05-03-2024,05-03-2025,940.01,80065.78,C25,NULL,0,Rejected
P26,C26,Male,84,Travel,27-10-2023,27-10-2024,971.63,29859.9,C26,NULL,0,Rejected
P27,C27,Female,73,Travel,13-09-2023,13-09-2024,461.65,99986.78,C27,NULL,0,Rejected
P28,C28,Male,48,Health,05-09-2023,05-09-2024,736.94,48061.48,C28,23-01-2024,1244.44,Settled
P29,C29,Female,27,Health,25-09-2023,25-09-2024,582.71,90784.01,C29,NULL,0,Rejected
P30,C30,Male,84,Home,26-05-2024,26-05-2025,274.83,53040.38,C30,26-09-2024,1720.83,Settled
P31,C31,Female,44,Travel,08-07-2024,08-07-2025,721.71,62207.31,C31,17-09-2024,4609.25,Settled
P32,C32,Male,45,Travel,03-12-2023,03-12-2024,567.47,95589.06,C32,22-09-2024,1097.1,Pending
P33,C33,Female,64,Life,06-10-2023,06-10-2024,727.76,77777.51,C33,14-09-2024,1350.19,Settled
P34,C34,Male,60,Auto,15-10-2023,15-10-2024,684.29,28612.12,C34,04-09-2024,2513.71,Settled
P35,C35,Female,75,Health,25-08-2023,25-08-2024,424.44,88125.22,C35,NULL,0,Rejected
P36,C36,Male,48,Auto,02-04-2024,02-04-2025,455.01,45366.22,C36,12-12-2024,5406.07,Settled
P37,C37,Female,37,Life,20-06-2024,20-06-2025,949.77,44371.64,C37,NULL,0,Rejected
P38,C38,Male,78,Auto,11-07-2024,11-07-2025,336.92,65802.5,C38,NULL,0,Rejected
P39,C39,Female,62,Auto,21-08-2023,21-08-2024,510.61,96410.26,C39,09-10-2023,911.64,Settled
P40,C40,Male,66,Health,20-05-2024,20-05-2025,957.54,22526.16,C40,NULL,0,Rejected
P41,C41,Female,27,Life,12-05-2024,12-05-2025,723.32,22535.36,C41,NULL,0,Rejected
P42,C42,Male,44,Auto,19-03-2024,19-03-2025,729.28,101638,C42,18-10-2024,4279.12,Settled
P43,C43,Female,47,Travel,01-10-2023,01-10-2024,571.05,87821.33,C43,03-07-2024,1878.93,Pending
P44,C44,Male,71,Auto,06-04-2024,06-04-2025,967.48,70376.51,C44,11-08-2024,2296.13,Settled
P45,C45,Female,42,Home,22-04-2024,22-04-2025,104.53,92963.85,C45,NULL,0,Rejected
P46,C46,Male,60,Health,18-11-2023,18-11-2024,433.83,86926.39,C46,13-12-2023,5103.87,Settled
P47,C47,Female,45,Auto,21-10-2023,21-10-2024,530.18,67961.03,C47,31-05-2024,4543.98,Settled
P48,C48,Male,64,Auto,03-01-2024,03-01-2025,257.92,34307.65,C48,11-09-2024,5119.79,Pending
P49,C49,Female,51,Auto,24-03-2024,24-03-2025,480.5,73381.08,C49,06-02-2025,5339.42,Settled
P50,C50,Male,64,Travel,21-11-2023,21-11-2024,283.79,66666.35,C50,21-04-2024,3797.67,Pending
P51,C51,Female,61,Travel,21-04-2024,21-04-2025,1054.82,68473.14,C51,NULL,0,Rejected
P52,C52,Male,24,Health,13-09-2023,13-09-2024,629.73,24318.48,C52,05-08-2024,1187.39,Settled
P53,C53,Female,18,Travel,01-01-2024,01-01-2025,887.27,64627.69,C53,NULL,0,Rejected
P54,C54,Male,50,Travel,06-06-2024,06-06-2025,858.8,47033.15,C54,NULL,0,Rejected
P55,C55,Female,81,Auto,08-12-2023,08-12-2024,898.81,27298.93,C55,27-12-2023,4975.59,Settled
P56,C56,Male,51,Life,29-05-2024,29-05-2025,112.73,85999.47,C56,08-09-2024,4168.66,Pending
P57,C57,Female,27,Travel,12-02-2024,12-02-2025,1051.62,85247.58,C57,20-08-2024,4049.88,Pending
P58,C58,Male,61,Health,27-12-2023,27-12-2024,350.39,62751.8,C58,NULL,0,Rejected
P59,C59,Female,43,Health,07-04-2024,07-04-2025,1013.9,45130.64,C59,NULL,0,Rejected
